Sequence_ID	JMF-2002-2-0001A	JMF-2002-2-0002A	JMF-2002-2-0003A	JMF-2002-2-0004A	JMF-2002-2-0005A	JMF-2002-2-0006A	JMF-2002-2-0007A	JMF-2002-2-0008A	JMF-2002-2-0009A	JMF-2002-2-0010A	JMF-2002-2-0011A	JMF-2002-2-0012A	JMF-2002-2-0013A	JMF-2002-2-0014A	JMF-2002-2-0015A	JMF-2002-2-0016A	JMF-2002-2-0017A	JMF-2002-2-0018A	JMF-2002-2-0018B	JMF-2002-2-0019A	JMF-2002-2-0020A	JMF-2002-2-0021A	JMF-2002-2-0021B	JMF-2002-2-0022A	JMF-2002-2-0022B	JMF-2002-2-0023A	JMF-2002-2-0024A	JMF-2002-2-0025A	JMF-2002-2-0026A	JMF-2002-2-0027A	JMF-2002-2-0028A	JMF-2002-2-0029A	JMF-2002-2-0030A	JMF-2002-2-0031A
ASV_jse_lkk	0	0	0	17	0	0	0	0	3	0	63	0	0	4	24	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	13	0
ASV_jsl_ur3	0	1	0	0	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_jtt_k89	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_ju3_byg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ASV_jum_8z8	4	5	9	1	0	1	5	1	0	2	7	2	0	2	0	2	3	1	0	4	0	1	0	0	0	0	1	0	0	0	9	0	0	0
ASV_jv7_1bp	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ASV_jwr_ojo	6	1	0	0	0	1	0	4	0	6	0	9	2	6	2	5	2	1	0	0	2	2	0	0	0	5	2	5	14	9	5	11	9	0
ASV_jya_bpq	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_k0h_2og	0	12	4	0	1	6	1	1	0	3	6	0	0	1	1	2	4	0	0	3	0	1	0	0	0	1	1	14	11	9	1	5	11	0
ASV_k1k_xqo	0	1	1	0	0	0	0	2	1	0	0	0	12	0	4	1	0	7	0	0	0	0	0	0	0	2	3	6	0	2	1	4	0	0
ASV_k23_7qv	0	0	0	0	0	0	0	0	0	0	0	0	1	2	4	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0
ASV_k2k_7gb	13	38	351	2	8	7	4	3	0	11	19	15	1	2	0	0	2	1	0	0	2	0	0	0	0	0	0	0	1	2	0	2	1	0
ASV_k3o_39a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0
ASV_k3p_vr6	3	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ASV_k46_vhs	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_k54_31o	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ASV_k57_cih	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_k7j_t8y	3	4	0	9	10	2	91	6	1	10	6	2	0	9	6	8	14	3	0	0	2	6	0	0	0	3	2	11	16	17	32	11	14	0
ASV_k80_6tf	9	1	0	0	0	0	1	2	0	1	0	2	0	0	0	0	2	1	0	1	0	8	0	0	0	0	0	6	20	15	16	11	24	0
ASV_k9l_h6p	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
